彩种,期数,方案ID,玩法Name,玩法Id,下注内容,投注金额,开奖号码,结果,派彩,返点
重庆秒秒彩,1524538498454,213k152453849845436vi2eth,前中后-中三-杂六,23205,杂六,6.0,"5,8,1,0,6",未中奖,0.0,0.0
重庆秒秒彩,1524538497239,213k152453849723936vh2etf,两面-第一球-大,21101,大,6.0,"4,3,1,8,9",未中奖,0.0,0.0
重庆秒秒彩,1524538497004,213k152453849700436vh2etd,两面-第四球-小,21402,小,6.0,"7,8,1,5,0",未中奖,0.0,0.0
重庆秒秒彩,1524538496774,213k152453849677436vg2etb,1-5球-第一球-7,22107,7,6.0,"2,1,2,4,5",未中奖,0.0,0.0
重庆秒秒彩,1524538495287,213k152453849528736vf2et9,1-5球-第二球-6,22206,6,6.0,"6,8,1,0,3",未中奖,0.0,0.0
重庆秒秒彩,1524538495082,213k152453849508236vf2et7,两面-第五球-大,21501,大,6.0,"2,6,3,7,2",未中奖,0.0,0.0
重庆秒秒彩,1524538494854,213k152453849485436ve2et5,两面-第三球-小,21302,小,6.0,"5,1,9,9,8",未中奖,0.0,0.0
重庆秒秒彩,1524538494634,213k152453849463436ve2et3,1-5球-第三球-4,22304,4,6.0,"2,6,0,2,5",未中奖,0.0,0.0
重庆秒秒彩,1524538494414,213k152453849441436ve2et1,1-5球-第一球-2,22102,2,6.0,"3,7,9,8,1",未中奖,0.0,0.0
重庆秒秒彩,1524538494192,213k152453849419236ve2esv,两面-第四球-双,21404,双,6.0,"1,6,3,8,1",已派彩,10.98,0.0
重庆秒秒彩,1524538493723,213k152453849372336vd2est,1-5球-第五球-6,22506,6,6.0,"8,4,8,2,5",未中奖,0.0,0.0
重庆秒秒彩,1524538493511,213k152453849351136vd2esr,1-5球-第二球-5,22205,5,6.0,"6,2,6,5,6",未中奖,0.0,0.0
重庆秒秒彩,1524538493301,213k152453849330136vd2esp,前中后-中三-半顺,23204,半顺,6.0,"6,1,4,5,6",已派彩,15.25,0.0
重庆秒秒彩,1524538493061,213k152453849306136vd2esn,前中后-后三-杂六,23305,杂六,6.0,"2,1,2,0,2",未中奖,0.0,0.0
重庆秒秒彩,1524538492538,213k152453849253836vc2esl,1-5球-第一球-0,22110,0,6.0,"0,0,7,1,0",已派彩,54.9,0.0
重庆秒秒彩,1524538492319,213k152453849231936vc2esj,1-5球-第五球-0,22510,0,6.0,"5,7,7,7,6",未中奖,0.0,0.0
重庆秒秒彩,1524538492078,213k152453849207836vc2esh,前中后-前三-半顺,23104,半顺,6.0,"6,6,6,5,0",未中奖,0.0,0.0
重庆秒秒彩,1524538491802,213k152453849180236vb2esf,两面-总和＆龙虎-总和双,21604,双,6.0,"3,6,1,6,8",已派彩,10.98,0.0
重庆秒秒彩,1524538491574,213k152453849157436vb2esd,1-5球-第五球-1,22501,1,6.0,"4,6,8,4,9",未中奖,0.0,0.0
重庆秒秒彩,1524538491317,213k152453849131736vb2esb,两面-第五球-双,21504,双,6.0,"3,5,0,1,5",系统撤单,0.0,0.0
五分六合彩,201804240131,213e20180424013136uq2es9,正1特-双,1051204,双,1.0,"46,38,19,07,28,33,23",已派彩,1.99,0.0
五分六合彩,201804240131,213e20180424013136up2es7,正2特-11,1052111,11,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136up2es5,正2特-双,1052204,双,1.0,"46,38,19,07,28,33,23",已派彩,1.99,0.0
五分六合彩,201804240131,213e20180424013136up2es4,正2特-17,1052117,17,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136uo2es1,头数-2头,1081103,2,1.0,"46,38,19,07,28,33,23",已派彩,4.89,0.0
五分六合彩,201804240131,213e20180424013136uo2erv,正4特-24,1054124,24,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136uo2eru,正4特-绿波,1054213,绿,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136uo2err,正4特-02,1054102,02,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136un2erp,正码五-合双,1045108,双,1.0,"46,38,19,07,28,33,23",已派彩,1.99,0.0
五分六合彩,201804240131,213e20180424013136un2ern,特肖-龙,1121105,龙,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136un2erl,特码A-07,1012107,07,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.1
五分六合彩,201804240131,213e20180424013136un2erj,特码B-18,1011118,18,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136um2erh,特码B-24,1011124,24,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136um2erg,特码B-29,1011129,29,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136um2erd,特码两面-特地肖,1021110,地肖,1.0,"46,38,19,07,28,33,23",已派彩,1.99,0.0
五分六合彩,201804240131,213e20180424013136um2erb,特码B-45,1011145,45,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136ul2era,特码A-绿波,1012207,绿,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136ul2er7,特码B-30,1011130,30,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136ul2er5,特码B-32,1011132,32,1.0,"46,38,19,07,28,33,23",未中奖,0.0,0.0
五分六合彩,201804240131,213e20180424013136ul2er3,特码B-小,1011202,小,1.0,"46,38,19,07,28,33,23",系统撤单,0.0,0.0
秒速赛车,201804240655,213c20180424065536u02er1,6-10名-第六名-3,84103,03,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536u02eqv,6-10名-第九名-5,84405,05,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tv2equ,1-5名-第五名-1,83501,01,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tv2eqr,1-5名-冠军-6,83106,06,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tv2eqp,6-10名-第十名-4,84504,04,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tv2eqo,6-10名-第八名-9,84309,09,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tu2eql,1-5名-第四名-8,83408,08,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tu2eqj,6-10名-第六名-10,84110,10,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tu2eqi,1-5名-冠军-8,83108,08,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tu2eqf,1-5名-第四名-2,83402,02,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tt2eqd,冠亚和值-冠亚和值-16,82114,16,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tt2eqb,两面-冠亚和-冠亚单,82503,单,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tt2eqa,两面-第十名-单,82403,单,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536tt2eq8,两面-第十名-双,82404,双,9.0,"05,01,04,02,09,06,10,07,03,08",已派彩,17.64,0.0
秒速赛车,201804240655,213c20180424065536tq2eq5,两面-第三名-小,81302,小,9.0,"05,01,04,02,09,06,10,07,03,08",已派彩,17.64,0.0
秒速赛车,201804240655,213c20180424065536tp2eq4,两面-冠军-虎,81106,虎,9.0,"05,01,04,02,09,06,10,07,03,08",已派彩,17.64,0.0
秒速赛车,201804240655,213c20180424065536tp2eq2,两面-第三名-双,81304,双,9.0,"05,01,04,02,09,06,10,07,03,08",已派彩,17.64,0.0
秒速赛车,201804240655,213c20180424065536tp2epv,两面-第五名-虎,81506,虎,9.0,"05,01,04,02,09,06,10,07,03,08",未中奖,0.0,0.0
秒速赛车,201804240655,213c20180424065536to2ept,两面-第四名-大,81401,大,9.0,"05,01,04,02,09,06,10,07,03,08",系统撤单,0.0,0.0
北京PK10,20180424023,21082018042402336rs2epr,1-5名-冠军-9,83109,09,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rr2epp,1-5名-第五名-4,83504,04,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rr2epn,1-5名-第三名-4,83304,04,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rr2epm,1-5名-第三名-2,83302,02,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rr2epj,6-10名-第十名-7,84507,07,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rr2epi,1-5名-冠军-3,83103,03,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rq2epg,6-10名-第十名-8,84508,08,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rq2epd,1-5名-第四名-10,83410,10,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rq2epc,1-5名-亚军-4,83204,04,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rq2ep9,6-10名-第六名-3,84103,03,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rq2ep7,两面-冠亚和-冠亚单,82503,单,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rp2ep6,冠亚和值-冠亚和值-18,82116,18,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rp2ep3,两面-第十名-单,82403,单,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rp2ep2,冠亚和值-冠亚和值-15,82113,15,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rp2ep0,冠亚和值-冠亚和值-17,82115,17,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336rp2eot,两面-第九名-双,81904,双,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336ro2eos,两面-第八名-小,81802,小,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336ro2eop,两面-第八名-大,81801,大,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336ro2eon,两面-亚军-小,81202,小,9.0,,等待开奖,0.0,0.0
北京PK10,20180424023,21082018042402336ro2eom,两面-第六名-小,81602,小,9.0,,系统撤单,0.0,0.0
秒速快3,201804240654,213a20180424065436ri2eoj,总和-和值-10,64107,10,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436ri2eoi,总和-和值-8,64105,8,7.0,"4,1,3",已派彩,66.81,0.0
秒速快3,201804240654,213a20180424065436ri2eof,总和-和值-17,64114,17,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436ri2eoe,总和-和值-13,64110,13,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436ri2eob,总和-和值-7,64104,7,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rh2eo9,"不同号-二不同号-2,3",62106,"2,3",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rh2eo8,"同号-二同号-5,5",63205,"5,5",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rh2eo5,"同号-三同号-3,3,3",63103,"3,3,3",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rh2eo3,总和-和值-4,64101,4,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rh2eo1,"不同号-二不同号-2,4",62107,"2,4",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rg2eo0,"不同号-二不同号-3,4",62110,"3,4",7.0,"4,1,3",已派彩,46.77,0.0
秒速快3,201804240654,213a20180424065436rg2ent,"不同号-二不同号-1,6",62105,"1,6",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rg2enr,"不同号-二不同号-3,6",62112,"3,6",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rg2enp,"不同号-二不同号-1,5",62104,"1,5",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rf2enn,"不同号-二不同号-2,5",62108,"2,5",7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rf2enm,单骰-单骰-5,61105,5,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rf2enj,单骰-单骰-1,61101,1,7.0,"4,1,3",已派彩,15.4,0.0
秒速快3,201804240654,213a20180424065436rf2enh,单骰-单骰-6,61106,6,7.0,"4,1,3",未中奖,0.0,0.0
秒速快3,201804240654,213a20180424065436rf2eng,单骰-单骰-3,61103,3,7.0,"4,1,3",已派彩,15.4,0.0
秒速快3,201804240654,213a20180424065436re2end,单骰-单骰-2,61102,2,7.0,"4,1,3",系统撤单,0.0,0.0
湖北快3,20180424012,210m2018042401236ra2enb,总和-和值-13,64110,13,7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236ra2en9,总和-和值-12,64109,12,7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r92en7,总和-和值-5,64102,5,7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r92en6,总和-和值-17,64114,17,7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r92en3,总和-和值-8,64105,8,7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r92en1,"不同号-二不同号-3,4",62110,"3,4",7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r92en0,"同号-二同号-3,3",63203,"3,3",7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r82emt,"同号-三同号-4,4,4",63104,"4,4,4",7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r82emr,"不同号-二不同号-2,5",62108,"2,5",7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r82emq,"不同号-二不同号-1,3",62102,"1,3",7.0,,等待开奖,0.0,0.0
湖北快3,20180424012,210m2018042401236r82emn,"不同号-二不同号-1,6",62105,"1,6",7.0,,等待开奖,0.0,0.0
